CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-11-30;Cotas de fundos de investimento 409;2.52
00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;41.13
00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;33.66
00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-11-30;Outras aplicações;0.23
00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-11-30;Títulos de crédito privado;22.44
00.346.750/0001-10;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;4.92
00.346.750/0001-10;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;37.55
00.346.750/0001-10;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Outras cotas de fundos de investimento;3.01
00.346.750/0001-10;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;7.80
00.346.750/0001-10;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;47.29
00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO INVESTIMENTO;2023-11-30;Investimentos no Exterior;98.00
00.360.293/0001-18;BB RENDA FIXA DIVIDA EXTERNA MIL FUNDO INVESTIMENTO;2023-11-30;Outras Aplicações;2.00
00.398.561/0001-90;PORTO ALISIOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;68.36
00.398.561/0001-90;PORTO ALISIOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Derivativos;0.20
00.398.561/0001-90;PORTO ALISIOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;1.47
00.398.561/0001-90;PORTO ALISIOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Títulos públicos federais;1.26
00.400.490/0001-13;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;8.13
00.400.490/0001-13;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;7.35
00.400.490/0001-13;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;7.76
00.400.490/0001-13;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;71.26
00.463.569/0001-93;BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES IBOVESPA ALAVANCADO;2023-11-30;Ações;85.34
00.463.569/0001-93;BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES IBOVESPA ALAVANCADO;2023-11-30;Cotas de fundos de investimento 409;5.27
00.463.569/0001-93;BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM AÇÕES IBOVESPA ALAVANCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;3.95
00.524.617/0001-06;CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Cotas de fundos de investimento 409;99.26
00.524.617/0001-06;CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.51
00.524.617/0001-06;CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;0.26
00.539.553/0001-17;SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA;2023-11-30;Cotas de fundos de investimento;85.14
00.539.553/0001-17;SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA;2023-11-30;Derivativos;3.46
00.539.553/0001-17;SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA;2023-11-30;Operações  compromissadas  lastreadas  em  títulos públicos federais;3.18
00.539.553/0001-17;SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA;2023-11-30;Outras cotas de fundos de investimento;2.93
00.539.553/0001-17;SELEÇÃO GUIDE CASH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉD PRIVA;2023-11-30;Títulos públicos federais;5.42
00.575.922/0001-27;ALFA AÇÕES PREMIUM - FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;105.70
00.575.922/0001-27;ALFA AÇÕES PREMIUM - FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Cotas de fundos de investimento 409;4.02
00.575.922/0001-27;ALFA AÇÕES PREMIUM - FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Derivativos;0.00
00.575.922/0001-27;ALFA AÇÕES PREMIUM - FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;4.17
00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2023-11-30;Cotas de Fundos:;0.00
00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2023-11-30;Operações compromissadas Lastro em Tit. Públicos:;26.76
00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2023-11-30;Outras Aplicações:;0.00
00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2023-11-30;Títulos Privados:;26.33
00.598.452/0001-17;MB MASTER REFERENCIADO DI LONGO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO;2023-11-30;Títulos Públicos:;47.52
00.601.692/0001-23;FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2023-11-30;Ações;99.03
00.601.692/0001-23;FAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;2023-11-30;Cotas de fundos de investimento;1.84
00.743.026/0001-20;BANRISUL VIP FUNDO DE INVESTIMENTO RENDA FIXA DE LONGO PRAZO;2023-11-30;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS FEDERAIS;13.39
00.743.026/0001-20;BANRISUL VIP FUNDO DE INVESTIMENTO RENDA FIXA DE LONGO PRAZO;2023-11-30;TÍTULOS PÚBLICOS FEDERAIS;87.32
00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;4.00
00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;47.00
00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras Aplicações;0.00
00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos de Crédito Privado;0.00
00.756.851/0001-69;BB RENDA FIXA REFERENCIADO DI ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos Publicos Federais;46.00
00.777.815/0001-81;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;12.11
00.777.815/0001-81;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;58.52
00.777.815/0001-81;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO;2023-11-30;Títulos de crédito privado;0.23
00.777.815/0001-81;BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO FUNCIONÁRIO;2023-11-30;Títulos públicos federais;28.98
00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;7.43
00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;-0.03
00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;53.97
00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos de crédito privado;0.07
00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;39.36
00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2023-11-30;Cotas de fundos de investimento 409;19.37
00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;5.41
00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2023-11-30;Derivativos;-2.67
00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;10.47
00.793.947/0001-05;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA VÊNUS;2023-11-30;Títulos públicos federais;61.73
00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Cotas de Fundos de Investimento 409;8.18
00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Depósitos a Prazo e Outros Títulos de Instituições Financeiras;1.98
00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;51.36
00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Títulos de Crédito Privado;1.95
00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Títulos Públicos Federais;35.81
00.809.773/0001-13;BRADESCO H FICFI RENDA FIXA CURTO PRAZO OVER;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;100.11
00.812.433/0001-41;BNB AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2023-11-30;OPERAÇÕES COMPROMISSADAS LASTREADAS EM TÍTULOS PÚBLICOS FEDERAIS;96.30
00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2023-11-30;Depósitos a prazo e outros tít. Inst. Financeiras;24.38
00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2023-11-30;Oper. compromissadas lastr. tít. públ. federais;47.69
00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2023-11-30;Outras Cotas de fundos de investimento;0.27
00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2023-11-30;Títulos de crédito privado;12.93
00.813.342/0001-20;SANTANDER RF REFERENCIADO DI MAIS 2 FIC FI;2023-11-30;Títulos públicos federais;15.63
00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;7.44
00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;-0.03
00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;54.05
00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos de crédito privado;0.07
00.817.201/0001-86;ITAÚ RENDA FIXA PLUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;39.42
00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Cotas de fundos de investimento 409;12.08
00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;8.58
00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Outras aplicações;5.07
00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Títulos de crédito privado;47.19
00.817.677/0001-17;WESTERN ASSET ALPHA CREDIT RENDA FIXA FUNDO DE INVESTIMENTO CRÉDITO PRIVADO;2023-11-30;Títulos públicos federais;23.34
00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;13.05
00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;3.51
00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2023-11-30;Outras cotas de fundos de investimentos;2.74
00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2023-11-30;Títulos de crédito privado;20.86
00.819.858/0001-82;WESTERN ASSET RF ATIVO SILVER FIC FI RENDA FIXA;2023-11-30;Títulos públicos federais;61.71
00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2023-11-30;Cotas de fundos de investimento 409;2.67
00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;7.57
00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2023-11-30;Outras cotas de fundos de investimentos;2.24
00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2023-11-30;Títulos de crédito privado;5.92
00.819.875/0001-10;WESTERN ASSET DI RENDA FIXA REFERENCIADO FI;2023-11-30;Títulos públicos federais;81.60
00.819.880/0001-22;WESTERN ASSET CÂMBIO DOLAR PRIME FICFI CAMBIAL;2023-11-30;Cotas de fundos de investimento;100.00
00.819.889/0001-33;WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO CAMBIAL;2023-11-30;Derivativos;97.96
00.819.889/0001-33;WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO CAMBIAL;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;1.16
00.819.889/0001-33;WESTERN ASSET HEDGE DÓLAR FUNDO DE INVESTIMENTO CAMBIAL;2023-11-30;Títulos públicos federais;98.21
00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;7.67
00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.53
00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2023-11-30;Outras cotas de fundos de investimentos;2.27
00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2023-11-30;Títulos de crédito privado;5.99
00.819.901/0001-00;WESTERN ASSET DI SILVER FIC FI RENDA FIXA REFERENCIADO;2023-11-30;Títulos públicos federais;84.85
00.819.915/0001-23;WESTERN ASSET DI EXCELLENT FICFI RENDA FIXA REFERENCIADO;2023-11-30;Cotas de fundos de investimento;100.04
00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;7.65
00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.53
00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2023-11-30;Outras cotas de fundos de investimentos;2.26
00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2023-11-30;Títulos de crédito privado;5.98
00.819.929/0001-47;WESTERN ASSET DI PLUS FICFI RENDA FIXA REFERENCIADO;2023-11-30;Títulos públicos federais;84.66
00.822.059/0001-65;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Ações;93.00
00.822.059/0001-65;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;0.00
00.822.059/0001-65;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;2.00
00.822.059/0001-65;BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras Aplicações;4.00
00.822.954/0001-80;ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;0.75
00.822.954/0001-80;ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.42
00.822.954/0001-80;ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;98.19
